location_id,location_name_en,Location_Name_ZH,ISO_3166_1,Country_Region_EN,Country_Region_ZH,Adm1_Name_EN,Adm1_Name_ZH,Adm2_Name_EN,Adm2_Name_ZH,Timezone,Latitude,Longitude,AD_code
101010100,Beijing,北京,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.905,116.4053,110000
101020100,Shanghai,上海,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2317,121.4726,310000
101030100,Tianjin,天津,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1256,117.1902,120000
101040100,Chongqing,重庆,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.5638,106.5505,500000
101050101,Harbin,哈尔滨,CN,China,中国,Heilongjiang,黑龙江省,Harbin,哈尔滨市,Asia/Shanghai,45.803,126.5351,230100
101050201,Qiqihar,齐齐哈尔,CN,China,中国,Heilongjiang,黑龙江省,Qiqihar,齐齐哈尔市,Asia/Shanghai,47.3421,123.9579,230200
101050301,Mudanjiang,牡丹江,CN,China,中国,Heilongjiang,黑龙江省,Mudanjiang,牡丹江市,Asia/Shanghai,44.583,129.6186,231000
101050401,Jiamusi,佳木斯,CN,China,中国,Heilongjiang,黑龙江省,Jiamusi,佳木斯市,Asia/Shanghai,46.8096,130.3616,230800
101050501,Suihua,绥化,CN,China,中国,Heilongjiang,黑龙江省,Suihua,绥化市,Asia/Shanghai,46.6374,126.9929,231200
101050601,Heihe,黑河,CN,China,中国,Heilongjiang,黑龙江省,Heihe,黑河市,Asia/Shanghai,50.2496,127.499,231100
101050701,Daxing'anling Prefecture,大兴安岭,CN,China,中国,Heilongjiang,黑龙江省,Daxing'anling Prefecture,大兴安岭地区,Asia/Shanghai,50.4113,124.1179,232700
101050801,Yichun,伊春,CN,China,中国,Heilongjiang,黑龙江省,Yichun,伊春市,Asia/Shanghai,47.7269,128.8993,230700
101050901,Daqing,大庆,CN,China,中国,Heilongjiang,黑龙江省,Daqing,大庆市,Asia/Shanghai,46.5907,125.1127,230600
101051002,Qitaihe,七台河,CN,China,中国,Heilongjiang,黑龙江省,Qitaihe,七台河市,Asia/Shanghai,45.7713,131.0156,230900
101051101,Jixi,鸡西,CN,China,中国,Heilongjiang,黑龙江省,Jixi,鸡西市,Asia/Shanghai,45.3,130.976,230300
101051201,Hegang,鹤岗,CN,China,中国,Heilongjiang,黑龙江省,Hegang,鹤岗市,Asia/Shanghai,47.3321,130.2775,230400
101051301,Shuangyashan,双鸭山,CN,China,中国,Heilongjiang,黑龙江省,Shuangyashan,双鸭山市,Asia/Shanghai,46.6434,131.1573,230500
101060101,Changchun,长春,CN,China,中国,Jilin,吉林省,Changchun,长春市,Asia/Shanghai,43.817,125.3236,220100
101060201,Jilin,吉林,CN,China,中国,Jilin,吉林省,Jilin,吉林市,Asia/Shanghai,43.8436,126.553,220200
101060306,Yanbian Prefecture,延边,CN,China,中国,Jilin,吉林省,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,Asia/Shanghai,42.9048,129.5132,222400
101060401,Siping,四平,CN,China,中国,Jilin,吉林省,Siping,四平市,Asia/Shanghai,43.1703,124.3708,220300
101060501,Tonghua,通化,CN,China,中国,Jilin,吉林省,Tonghua,通化市,Asia/Shanghai,41.7212,125.9365,220500
101060601,Baicheng,白城,CN,China,中国,Jilin,吉林省,Baicheng,白城市,Asia/Shanghai,45.619,122.8411,220800
101060701,Liaoyuan,辽源,CN,China,中国,Jilin,吉林省,Liaoyuan,辽源市,Asia/Shanghai,42.9027,125.1453,220400
101060801,Songyuan,松原,CN,China,中国,Jilin,吉林省,Songyuan,松原市,Asia/Shanghai,45.1182,124.8236,220700
101060901,Baishan,白山,CN,China,中国,Jilin,吉林省,Baishan,白山市,Asia/Shanghai,41.9425,126.4278,220600
101070101,Shenyang,沈阳,CN,China,中国,Liaoning,辽宁省,Shenyang,沈阳市,Asia/Shanghai,41.6776,123.4647,210100
101070201,Dalian,大连,CN,China,中国,Liaoning,辽宁省,Dalian,大连市,Asia/Shanghai,38.9146,121.6186,210200
101070301,Anshan,鞍山,CN,China,中国,Liaoning,辽宁省,Anshan,鞍山市,Asia/Shanghai,41.1106,122.9956,210300
101070401,Fushun,抚顺,CN,China,中国,Liaoning,辽宁省,Fushun,抚顺市,Asia/Shanghai,41.8813,123.9571,210400
101070501,Benxi,本溪,CN,China,中国,Liaoning,辽宁省,Benxi,本溪市,Asia/Shanghai,41.4868,123.685,210500
101070601,Dandong,丹东,CN,China,中国,Liaoning,辽宁省,Dandong,丹东市,Asia/Shanghai,40.0007,124.3544,210600
101070701,Jinzhou,锦州,CN,China,中国,Liaoning,辽宁省,Jinzhou,锦州市,Asia/Shanghai,41.1193,121.1357,210700
101070801,Yingkou,营口,CN,China,中国,Liaoning,辽宁省,Yingkou,营口市,Asia/Shanghai,40.6674,122.2352,210800
101070901,Fuxin,阜新,CN,China,中国,Liaoning,辽宁省,Fuxin,阜新市,Asia/Shanghai,42.022,121.6701,210900
101071001,Liaoyang,辽阳,CN,China,中国,Liaoning,辽宁省,Liaoyang,辽阳市,Asia/Shanghai,41.2694,123.1815,211000
101071101,Tieling,铁岭,CN,China,中国,Liaoning,辽宁省,Tieling,铁岭市,Asia/Shanghai,42.2233,123.7257,211200
101071201,Chaoyang,朝阳,CN,China,中国,Liaoning,辽宁省,Chaoyang,朝阳市,Asia/Shanghai,41.5768,120.4512,211300
101071301,Panjin,盘锦,CN,China,中国,Liaoning,辽宁省,Panjin,盘锦市,Asia/Shanghai,40.7196,122.1707,211100
101071401,Huludao,葫芦岛,CN,China,中国,Liaoning,辽宁省,Huludao,葫芦岛市,Asia/Shanghai,40.711,120.8368,211400
101080101,Hohhot,呼和浩特,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Hohhot,呼和浩特市,Asia/Shanghai,40.8421,111.7488,150100
101080201,Baotou,包头,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Baotou,包头市,Asia/Shanghai,40.6213,109.9532,150200
101080301,Wuhai,乌海,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Wuhai,乌海市,Asia/Shanghai,39.6737,106.8256,150300
101080405,Ulanqab,乌兰察布,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Ulanqab,乌兰察布市,Asia/Shanghai,41.0341,113.1145,150900
101080501,Tongliao,通辽,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Tongliao,通辽市,Asia/Shanghai,43.6174,122.2631,150500
101080601,Chifeng,赤峰,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Chifeng,赤峰市,Asia/Shanghai,42.2569,118.8876,150400
101080701,Ordos,鄂尔多斯,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Ordos,鄂尔多斯市,Asia/Shanghai,39.6087,109.7825,150600
101080811,Bayannur,巴彦淖尔,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Bayannur,巴彦淖尔市,Asia/Shanghai,40.7574,107.417,150800
101080902,Xilingol League,锡林郭勒,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Xilingol League,锡林郭勒盟,Asia/Shanghai,43.944,116.091,152500
101081013,Hulunbuir,呼伦贝尔,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Hulunbuir,呼伦贝尔市,Asia/Shanghai,49.1665,119.7785,150700
101081108,Hinggan League,兴安盟,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Hinggan League,兴安盟,Asia/Shanghai,46.0763,122.0703,152200
101081213,Alxa League,阿拉善盟,CN,China,中国,Inner Mongolia Autonomous Region,内蒙古自治区,Alxa League,阿拉善盟,Asia/Shanghai,38.8448,105.7064,152900
101090101,Shijiazhuang,石家庄,CN,China,中国,Hebei,河北省,Shijiazhuang,石家庄市,Asia/Shanghai,38.0455,114.5025,130100
101090201,Baoding,保定,CN,China,中国,Hebei,河北省,Baoding,保定市,Asia/Shanghai,38.8677,115.4823,130600
101090301,Zhangjiakou,张家口,CN,China,中国,Hebei,河北省,Zhangjiakou,张家口市,Asia/Shanghai,40.8119,114.8841,130700
101090402,Chengde,承德,CN,China,中国,Hebei,河北省,Chengde,承德市,Asia/Shanghai,40.9762,117.9392,130800
101090501,Tangshan,唐山,CN,China,中国,Hebei,河北省,Tangshan,唐山市,Asia/Shanghai,39.6351,118.1754,130200
101090601,Langfang,廊坊,CN,China,中国,Hebei,河北省,Langfang,廊坊市,Asia/Shanghai,39.5239,116.7044,131000
101090701,Cangzhou,沧州,CN,China,中国,Hebei,河北省,Cangzhou,沧州市,Asia/Shanghai,38.3106,116.8575,130900
101090801,Hengshui,衡水,CN,China,中国,Hebei,河北省,Hengshui,衡水市,Asia/Shanghai,37.7351,115.666,131100
101090901,Xingtai,邢台,CN,China,中国,Hebei,河北省,Xingtai,邢台市,Asia/Shanghai,37.0602,114.4974,130500
101091001,Handan,邯郸,CN,China,中国,Hebei,河北省,Handan,邯郸市,Asia/Shanghai,36.6123,114.4907,130400
101091101,Qinhuangdao,秦皇岛,CN,China,中国,Hebei,河北省,Qinhuangdao,秦皇岛市,Asia/Shanghai,39.8882,119.5202,130300
101091201,Xiong'an,雄安新区,CN,China,中国,Hebei,河北省,Xiong'an New Area,雄安新区,Asia/Shanghai,39.0432,115.8672,133100
101100101,Taiyuan,太原,CN,China,中国,Shanxi,山西省,Taiyuan,太原市,Asia/Shanghai,37.857,112.5492,140100
101100201,Datong,大同,CN,China,中国,Shanxi,山西省,Datong,大同市,Asia/Shanghai,40.0971,113.3668,140200
101100301,Yangquan,阳泉,CN,China,中国,Shanxi,山西省,Yangquan,阳泉市,Asia/Shanghai,37.8612,113.5833,140300
101100401,Jinzhong,晋中,CN,China,中国,Shanxi,山西省,Jinzhong,晋中市,Asia/Shanghai,37.6965,112.7365,140700
101100501,Changzhi,长治,CN,China,中国,Shanxi,山西省,Changzhi,长治市,Asia/Shanghai,36.1911,113.1136,140400
101100601,Jincheng,晋城,CN,China,中国,Shanxi,山西省,Jincheng,晋城市,Asia/Shanghai,35.4976,112.8513,140500
101100701,Linfen,临汾,CN,China,中国,Shanxi,山西省,Linfen,临汾市,Asia/Shanghai,36.0841,111.518,141000
101100801,Yuncheng,运城,CN,China,中国,Shanxi,山西省,Yuncheng,运城市,Asia/Shanghai,35.0228,111.004,140800
101100901,Shuozhou,朔州,CN,China,中国,Shanxi,山西省,Shuozhou,朔州市,Asia/Shanghai,39.3313,112.4334,140600
101101001,Xinzhou,忻州,CN,China,中国,Shanxi,山西省,Xinzhou,忻州市,Asia/Shanghai,38.4177,112.7335,140900
101101100,Lyuliang,吕梁,CN,China,中国,Shanxi,山西省,Lüliang,吕梁市,Asia/Shanghai,37.5244,111.1343,141100
101110101,Xi'an,西安,CN,China,中国,Shaanxi,陕西省,Xi'an,西安市,Asia/Shanghai,34.3432,108.9397,610100
101110200,Xianyang,咸阳,CN,China,中国,Shaanxi,陕西省,Xianyang,咸阳市,Asia/Shanghai,34.3334,108.7051,610400
101110300,Yan'an,延安,CN,China,中国,Shaanxi,陕西省,Yan'an,延安市,Asia/Shanghai,36.6501,109.4947,610600
101110401,Yulin,榆林,CN,China,中国,Shaanxi,陕西省,Yulin,榆林市,Asia/Shanghai,38.2902,109.7412,610800
101110501,Weinan,渭南,CN,China,中国,Shaanxi,陕西省,Weinan,渭南市,Asia/Shanghai,34.4994,109.5029,610500
101110601,Shangluo,商洛,CN,China,中国,Shaanxi,陕西省,Shangluo,商洛市,Asia/Shanghai,33.8683,109.9398,611000
101110701,Ankang,安康,CN,China,中国,Shaanxi,陕西省,Ankang,安康市,Asia/Shanghai,32.6903,109.0293,610900
101110801,Hanzhong,汉中,CN,China,中国,Shaanxi,陕西省,Hanzhong,汉中市,Asia/Shanghai,33.0777,107.0286,610700
101110901,Baoji,宝鸡,CN,China,中国,Shaanxi,陕西省,Baoji,宝鸡市,Asia/Shanghai,34.3629,107.2377,610300
101111001,Tongchuan,铜川,CN,China,中国,Shaanxi,陕西省,Tongchuan,铜川市,Asia/Shanghai,34.9166,108.9796,610200
101120101,Jinan,济南,CN,China,中国,Shandong,山东省,Jinan,济南市,Asia/Shanghai,36.6521,117.1201,370100
101120201,Qingdao,青岛,CN,China,中国,Shandong,山东省,Qingdao,青岛市,Asia/Shanghai,36.083,120.3552,370200
101120301,Zibo,淄博,CN,China,中国,Shandong,山东省,Zibo,淄博市,Asia/Shanghai,36.8149,118.0476,370300
101120401,Dezhou,德州,CN,China,中国,Shandong,山东省,Dezhou,德州市,Asia/Shanghai,37.454,116.3074,371400
101120501,Yantai,烟台,CN,China,中国,Shandong,山东省,Yantai,烟台市,Asia/Shanghai,37.4646,121.4478,370600
101120601,Weifang,潍坊,CN,China,中国,Shandong,山东省,Weifang,潍坊市,Asia/Shanghai,36.7093,119.1071,370700
101120701,Jining,济宁,CN,China,中国,Shandong,山东省,Jining,济宁市,Asia/Shanghai,35.4154,116.5872,370800
101120801,Tai'an,泰安,CN,China,中国,Shandong,山东省,Tai'an,泰安市,Asia/Shanghai,36.195,117.1291,370900
101120901,Linyi,临沂,CN,China,中国,Shandong,山东省,Linyi,临沂市,Asia/Shanghai,35.1038,118.3565,371300
101121001,Heze,菏泽,CN,China,中国,Shandong,山东省,Heze,菏泽市,Asia/Shanghai,35.2465,115.4694,371700
101121101,Binzhou,滨州,CN,China,中国,Shandong,山东省,Binzhou,滨州市,Asia/Shanghai,37.3835,118.017,371600
101121201,Dongying,东营,CN,China,中国,Shandong,山东省,Dongying,东营市,Asia/Shanghai,37.434,118.6746,370500
101121301,Weihai,威海,CN,China,中国,Shandong,山东省,Weihai,威海市,Asia/Shanghai,37.5097,122.1164,371000
101121401,Zaozhuang,枣庄,CN,China,中国,Shandong,山东省,Zaozhuang,枣庄市,Asia/Shanghai,34.8109,117.3238,370400
101121501,Rizhao,日照,CN,China,中国,Shandong,山东省,Rizhao,日照市,Asia/Shanghai,35.4169,119.5269,371100
101121701,Liaocheng,聊城,CN,China,中国,Shandong,山东省,Liaocheng,聊城市,Asia/Shanghai,36.456,115.9804,371500
101130101,Urumqi,乌鲁木齐,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Urumqi,乌鲁木齐市,Asia/Shanghai,43.7928,87.6177,650100
101130201,Karamay,克拉玛依,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Karamay,克拉玛依市,Asia/Shanghai,45.5959,84.8739,650200
101130401,Changji Prefecture,昌吉,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Changji Hui Autonomous Prefecture,昌吉回族自治州,Asia/Shanghai,44.0146,87.304,652300
101130501,Turpan,吐鲁番,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Turpan,吐鲁番市,Asia/Shanghai,42.9476,89.1841,650400
101130609,Bayingolin Prefecture,巴音郭楞,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Bayingolin Mongol Autonomous Prefecture,巴音郭楞蒙古自治州,Asia/Shanghai,41.7686,86.151,652800
101130801,Aksu Prefecture,阿克苏,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Aksu Prefecture,阿克苏地区,Asia/Shanghai,41.1707,80.2651,652900
101130901,Kashgar Prefecture,喀什地区,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Kashgar Prefecture,喀什地区,Asia/Shanghai,39.4677,75.9891,653100
101131012,Ili Prefecture,伊犁,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Ili Kazakh Autonomous Prefecture,伊犁哈萨克自治州,Asia/Shanghai,43.9219,81.3179,654000
101131101,Tacheng Prefecture,塔城地区,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Tacheng Prefecture,塔城地区,Asia/Shanghai,46.7463,82.984,654200
101131201,Hami,哈密,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Hami,哈密市,Asia/Shanghai,42.8332,93.5132,650500
101131301,Hotan Prefecture,和田地区,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Hotan Prefecture,和田地区,Asia/Shanghai,37.1089,79.9275,653200
101131401,Altay Prefecture,阿勒泰地区,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Altay Prefecture,阿勒泰地区,Asia/Shanghai,47.8489,88.1387,654300
101131505,Kizilsu Prefecture,克州,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Kizilsu Kyrgyz Autonomous Prefecture,克孜勒苏柯尔克孜自治州,Asia/Shanghai,39.714,76.1768,653000
101131604,Bortala Prefecture,博尔塔拉,CN,China,中国,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,Bortala Mongol Autonomous Prefecture,博尔塔拉蒙古自治州,Asia/Shanghai,44.9033,82.0748,652700
101140101,Lhasa,拉萨,CN,China,中国,Tibet Autonomous Region,西藏自治区,Lhasa,拉萨市,Asia/Shanghai,29.6604,91.1322,540100
101140201,Xigazê,日喀则,CN,China,中国,Tibet Autonomous Region,西藏自治区,Xigazê,日喀则市,Asia/Shanghai,29.2675,88.8851,540200
101140301,Shannan,山南,CN,China,中国,Tibet Autonomous Region,西藏自治区,Shannan,山南市,Asia/Shanghai,29.236,91.7665,540500
101140401,Nyingchi,林芝,CN,China,中国,Tibet Autonomous Region,西藏自治区,Linzi,林芝市,Asia/Shanghai,29.6547,94.3624,540400
101140501,Qamdo,昌都,CN,China,中国,Tibet Autonomous Region,西藏自治区,Qamdo,昌都市,Asia/Shanghai,31.1369,97.1785,540300
101140601,Nagqu,那曲,CN,China,中国,Tibet Autonomous Region,西藏自治区,Nagqu,那曲市,Asia/Shanghai,31.476,92.0602,540600
101140701,Ngari Prefecture,阿里地区,CN,China,中国,Tibet Autonomous Region,西藏自治区,Ngari Prefecture,阿里地区,Asia/Shanghai,32.5032,80.1055,542500
101150101,Xining,西宁,CN,China,中国,Qinghai,青海省,Xining,西宁市,Asia/Shanghai,36.6232,101.7789,630100
101150207,Haidong,海东,CN,China,中国,Qinghai,青海省,Haidong,海东市,Asia/Shanghai,36.4735,102.4106,630200
101150305,Huangnan Prefecture,黄南,CN,China,中国,Qinghai,青海省,Huangnan Tibetan Autonomous Prefecture,黄南藏族自治州,Asia/Shanghai,35.5177,102.02,632300
101150402,Hainan Prefecture,海南,CN,China,中国,Qinghai,青海省,Hainan Tibetan Autonomous Prefecture,海南藏族自治州,Asia/Shanghai,36.2804,100.6195,632500
101150507,Golog Prefecture,果洛,CN,China,中国,Qinghai,青海省,Golog Tibetan Autonomous Prefecture,果洛藏族自治州,Asia/Shanghai,34.4736,100.2421,632600
101150601,Yushu Prefecture,玉树州,CN,China,中国,Qinghai,青海省,Yushu Tibetan Autonomous Prefecture,玉树藏族自治州,Asia/Shanghai,33.0041,97.0085,632700
101150702,Haixi Prefecture,海西,CN,China,中国,Qinghai,青海省,Haixi Mongol and Tibetan Autonomous Prefecture,海西蒙古族藏族自治州,Asia/Shanghai,37.3481,97.332,632800
101150804,Haibei Prefecture,海北,CN,China,中国,Qinghai,青海省,Haibei Tibetan Autonomous Prefecture,海北藏族自治州,Asia/Shanghai,36.9594,100.9011,632200
101160101,Lanzhou,兰州,CN,China,中国,Gansu,甘肃省,Lanzhou,兰州市,Asia/Shanghai,36.058,103.8236,620100
101160201,Dingxi,定西,CN,China,中国,Gansu,甘肃省,Dingxi,定西市,Asia/Shanghai,35.5796,104.6263,621100
101160301,Pingliang,平凉,CN,China,中国,Gansu,甘肃省,Pingliang,平凉市,Asia/Shanghai,35.5428,106.6847,620800
101160401,Qingyang,庆阳,CN,China,中国,Gansu,甘肃省,Qingyang,庆阳市,Asia/Shanghai,35.7342,107.6384,621000
101160501,Wuwei,武威,CN,China,中国,Gansu,甘肃省,Wuwei,武威市,Asia/Shanghai,37.93,102.6347,620600
101160601,Jinchang,金昌,CN,China,中国,Gansu,甘肃省,Jinchang,金昌市,Asia/Shanghai,38.5142,102.1879,620300
101160701,Zhangye,张掖,CN,China,中国,Gansu,甘肃省,Zhangye,张掖市,Asia/Shanghai,38.9329,100.4555,620700
101160801,Jiuquan,酒泉,CN,China,中国,Gansu,甘肃省,Jiuquan,酒泉市,Asia/Shanghai,39.744,98.5108,620900
101160901,Tianshui,天水,CN,China,中国,Gansu,甘肃省,Tianshui,天水市,Asia/Shanghai,34.5785,105.725,620500
101161010,Longnan,陇南,CN,China,中国,Gansu,甘肃省,Longnan,陇南市,Asia/Shanghai,33.3886,104.9294,621200
101161101,Linxia Prefecture,临夏,CN,China,中国,Gansu,甘肃省,Linxia Hui Autonomous Prefecture,临夏回族自治州,Asia/Shanghai,35.5994,103.2116,622900
101161209,Gannan Prefecture,甘南,CN,China,中国,Gansu,甘肃省,Gannan Tibetan Autonomous Prefecture,甘南藏族自治州,Asia/Shanghai,34.9864,102.911,623000
101161301,Baiyin,白银,CN,China,中国,Gansu,甘肃省,Baiyin,白银市,Asia/Shanghai,36.5457,104.1736,620400
101161401,Jiayuguan,嘉峪关,CN,China,中国,Gansu,甘肃省,Jiayuguan,嘉峪关市,Asia/Shanghai,39.7865,98.2773,620200
101170101,Yinchuan,银川,CN,China,中国,Ningxia Hui Autonomous Region,宁夏回族自治区,Yinchuan,银川市,Asia/Shanghai,38.4664,106.2782,640100
101170201,Shizuishan,石嘴山,CN,China,中国,Ningxia Hui Autonomous Region,宁夏回族自治区,Shizuishan,石嘴山市,Asia/Shanghai,39.0133,106.3762,640200
101170301,Wuzhong,吴忠,CN,China,中国,Ningxia Hui Autonomous Region,宁夏回族自治区,Wuzhong,吴忠市,Asia/Shanghai,37.9862,106.1994,640300
101170401,Guyuan,固原,CN,China,中国,Ningxia Hui Autonomous Region,宁夏回族自治区,Guyuan,固原市,Asia/Shanghai,36.0046,106.2852,640400
101170501,Zhongwei,中卫,CN,China,中国,Ningxia Hui Autonomous Region,宁夏回族自治区,Zhongwei,中卫市,Asia/Shanghai,37.515,105.1896,640500
101180101,Zhengzhou,郑州,CN,China,中国,Henan,河南省,Zhengzhou,郑州市,Asia/Shanghai,34.758,113.6654,410100
101180201,Anyang,安阳,CN,China,中国,Henan,河南省,Anyang,安阳市,Asia/Shanghai,36.1034,114.3525,410500
101180301,Xinxiang,新乡,CN,China,中国,Henan,河南省,Xinxiang,新乡市,Asia/Shanghai,35.3036,113.9268,410700
101180401,Xuchang,许昌,CN,China,中国,Henan,河南省,Xuchang,许昌市,Asia/Shanghai,34.023,113.8261,411000
101180501,Pingdingshan,平顶山,CN,China,中国,Henan,河南省,Pingdingshan,平顶山市,Asia/Shanghai,33.7666,113.1926,410400
101180601,Xinyang,信阳,CN,China,中国,Henan,河南省,Xinyang,信阳市,Asia/Shanghai,32.1233,114.075,411500
101180701,Nanyang,南阳,CN,China,中国,Henan,河南省,Nanyang,南阳市,Asia/Shanghai,32.9991,112.5409,411300
101180801,Kaifeng,开封,CN,China,中国,Henan,河南省,Kaifeng,开封市,Asia/Shanghai,34.7971,114.3414,410200
101180901,Luoyang,洛阳,CN,China,中国,Henan,河南省,Luoyang,洛阳市,Asia/Shanghai,34.6197,112.4539,410300
101181001,Shangqiu,商丘,CN,China,中国,Henan,河南省,Shangqiu,商丘市,Asia/Shanghai,34.4371,115.6505,411400
101181101,Jiaozuo,焦作,CN,China,中国,Henan,河南省,Jiaozuo,焦作市,Asia/Shanghai,35.239,113.2383,410800
101181201,Hebi,鹤壁,CN,China,中国,Henan,河南省,Hebi,鹤壁市,Asia/Shanghai,35.7482,114.2954,410600
101181301,Puyang,濮阳,CN,China,中国,Henan,河南省,Puyang,濮阳市,Asia/Shanghai,35.7682,115.0413,410900
101181401,Zhoukou,周口,CN,China,中国,Henan,河南省,Zhoukou,周口市,Asia/Shanghai,33.6347,114.7012,411600
101181501,Luohe,漯河,CN,China,中国,Henan,河南省,Luohe,漯河市,Asia/Shanghai,33.5759,114.0264,411100
101181601,Zhumadian,驻马店,CN,China,中国,Henan,河南省,Zhumadian,驻马店市,Asia/Shanghai,32.9802,114.0247,411700
101181701,Sanmenxia,三门峡,CN,China,中国,Henan,河南省,Sanmenxia,三门峡市,Asia/Shanghai,34.7773,111.1941,411200
101190101,Nanjing,南京,CN,China,中国,Jiangsu,江苏省,Nanjing,南京市,Asia/Shanghai,32.0415,118.7674,320100
101190201,Wuxi,无锡,CN,China,中国,Jiangsu,江苏省,Wuxi,无锡市,Asia/Shanghai,31.4911,120.3119,320200
101190301,Zhenjiang,镇江,CN,China,中国,Jiangsu,江苏省,Zhenjiang,镇江市,Asia/Shanghai,32.2044,119.4528,321100
101190401,Suzhou,苏州,CN,China,中国,Jiangsu,江苏省,Suzhou,苏州市,Asia/Shanghai,31.2994,120.6196,320500
101190501,Nantong,南通,CN,China,中国,Jiangsu,江苏省,Nantong,南通市,Asia/Shanghai,32.0162,120.8646,320600
101190601,Yangzhou,扬州,CN,China,中国,Jiangsu,江苏省,Yangzhou,扬州市,Asia/Shanghai,32.3932,119.421,321000
